iter	Logloss
0	0.6455606064
1	0.6023766682
2	0.5620838716
3	0.5333910271
4	0.504529787
5	0.471953529
6	0.4463112902
7	0.4194191697
8	0.4007599824
9	0.3798898437
10	0.3610295294
11	0.3459459771
12	0.331205485
13	0.3177142363
14	0.305826939
15	0.2908416139
16	0.2817705334
17	0.2726953937
18	0.2658399192
19	0.2566569009
20	0.2503743381
21	0.2426587736
22	0.2362022857
23	0.2286210805
24	0.222315665
25	0.2172552799
26	0.2115017845
27	0.2068024391
28	0.2006755907
29	0.1966157059
30	0.1918645273
31	0.1867729821
32	0.1834459171
33	0.180445179
34	0.1772251466
35	0.1731006962
36	0.1699816392
37	0.1670865558
38	0.1642651053
39	0.1612921925
40	0.1583297759
41	0.1556014573
42	0.1532912583
43	0.1509559526
44	0.1490289832
45	0.1473222617
46	0.1449393251
47	0.1435147191
48	0.1417626982
49	0.1402309268
50	0.1384571812
51	0.13712577
52	0.1354911817
53	0.1343015698
54	0.13309692
55	0.1318991192
56	0.1304252468
57	0.1294468547
58	0.1285781887
59	0.1270279616
60	0.1257213827
61	0.1244613342
62	0.1232905998
63	0.1219883103
64	0.1210572285
65	0.1199496107
66	0.1186966784
67	0.1178946007
68	0.1170862015
69	0.1162564518
70	0.1155398912
71	0.1148619226
72	0.1139400123
73	0.1132815344
74	0.1126981628
75	0.1120277363
76	0.1112627532
77	0.1105955337
78	0.109717308
79	0.1091665862
80	0.1087904613
81	0.1077526082
82	0.1067119584
83	0.1062720239
84	0.1056652776
85	0.1052615495
86	0.1047138742
87	0.1039595776
88	0.1032674495
89	0.1026977891
90	0.1023199735
91	0.1018533796
92	0.1011492107
93	0.1003860122
94	0.09974710087
95	0.09919112136
96	0.09867125891
97	0.09812551017
98	0.09774357838
99	0.09699817476
100	0.09664292509
101	0.09623273844
102	0.09574327231
103	0.09501071801
104	0.09465149208
105	0.09421524609
106	0.09384994177
107	0.09345746607
108	0.09304736185
109	0.09271920398
110	0.0922155754
111	0.09172103453
112	0.09101510418
113	0.09058919294
114	0.09034975612
115	0.08989631435
116	0.08951025551
117	0.08925911821
118	0.08896816186
